,Price,Area,Location,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool
204,36500000,2030,Goregaon West,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
205,23700000,1450,Malad West,3,1,1,1,1,,1,1,1,0,1,0,0,1,1
206,21400000,1100,Malad West,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
207,12500000,800,Kandivali West,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
208,18000000,1500,Kandivali West,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
209,13200000,1100,Kandivali West,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
210,35300000,1962,Kandivali West,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
211,15300000,950,Borivali East,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
212,25000000,1440,Kandivali West,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
213,13899999,1200,Kandivali West,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
214,33500000,1785,Borivali West,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
215,14500000,775,Goregaon West,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
216,9000000,765,Kandivali West,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
217,13500000,910,Goregaon West,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
218,9000000,640,Goregaon West,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
219,21600000,1264,Malad East,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
220,13700000,1056,Kandivali West,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
221,27799999,1810,Kandivali East,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
222,27900000,1656,Goregaon West,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
223,81600000,3888,Goregaon West,4,0,1,1,1,1,1,1,1,1,1,1,0,1,1
224,38600000,2030,Borivali West,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
